name,Serving Size,Calories,Fat,Protein,Carbohydrates
"Emu, raw, ground",100 g,134,4.03 g,22.77 g,0.00 g
"Cookies, fortune",100 g,378,2.70 g,4.20 g,84.00 g
"Fish, raw, cisco",100 g,98,1.91 g,18.99 g,0.00 g
"Couscous, cooked",100 g,112,0.16 g,3.79 g,23.22 g
"Dill weed, fresh",100 g,43,1.12 g,3.46 g,7.02 g
"Spearmint, dried",100 g,285,6.03 g,19.93 g,52.04 g
"Spearmint, fresh",100 g,44,0.73 g,3.29 g,8.41 g
Tamales (Navajo),100 g,153,6.12 g,6.28 g,18.12 g
"Rice bran, crude",100 g,316,20.85 g,13.35 g,49.69 g
"Rye flour, light",100 g,357,1.33 g,9.82 g,76.68 g
"Spices, bay leaf",100 g,313,8.36 g,7.61 g,74.97 g
"Spices, cardamom",100 g,311,6.70 g,10.76 g,68.47 g
"Lemon juice, raw",100 g,22,0.24 g,0.35 g,6.90 g
"Ginger root, raw",100 g,80,0.75 g,1.82 g,17.77 g
"Fish oil, salmon",100 g,902,100.00 g,0.00 g,0.00 g
"Fish, tuna salad",100 g,187,9.26 g,16.04 g,9.41 g
"Orange peel, raw",100 g,97,0.20 g,1.50 g,25.00 g
"Blueberries, raw",100 g,57,0.33 g,0.74 g,14.49 g
"Cheese, muenster",100 g,368,30.04 g,23.41 g,1.12 g
"Beet greens, raw",100 g,22,0.13 g,2.20 g,4.33 g
"Cheese, cheshire",100 g,387,30.60 g,23.37 g,4.78 g
"Bagels, oat bran",100 g,255,1.20 g,10.70 g,53.30 g
"Fat, beef tallow",100 g,902,100.00 g,0.00 g,0.00 g
"Clementines, raw",100 g,47,0.15 g,0.85 g,12.02 g
"Peas, raw, green",100 g,81,0.40 g,5.42 g,14.45 g
"Oat bran, cooked",100 g,40,0.86 g,3.21 g,11.44 g
"Pears, bosc, raw",100 g,67,0.09 g,0.36 g,16.10 g
"Sugar, turbinado",100 g,399,0.00 g,0.00 g,99.80 g
Ham salad spread,100 g,216,15.53 g,8.68 g,10.64 g
"Pastrami, turkey",100 g,139,6.21 g,16.30 g,3.34 g
"Cranberries, raw",100 g,46,0.13 g,0.46 g,11.97 g
"Egg, dried, yolk",100 g,669,59.13 g,33.63 g,0.66 g
"Quinoa, uncooked",100 g,368,6.07 g,14.12 g,64.16 g
"Emu, raw, oyster",100 g,141,4.86 g,22.81 g,0.00 g
"Rose-apples, raw",100 g,25,0.30 g,0.60 g,5.70 g
"Cheese, monterey",100 g,373,30.28 g,24.48 g,0.68 g
"Fish, raw, scup",100 g,105,2.73 g,18.88 g,0.00 g
"Cheese, cheddar",100 g,404,33.31 g,22.87 g,3.09 g
"Cheese, caraway",100 g,376,29.20 g,25.18 g,3.06 g
"Oil, wheat germ",100 g,884,100.00 g,0.00 g,0.00 g
"Bread, oat bran",100 g,236,4.40 g,10.40 g,39.80 g
"Watermelon, raw",100 g,30,0.15 g,0.61 g,7.55 g
Potato pancakes,100 g,268,14.76 g,6.08 g,27.81 g
Spinach souffle,100 g,172,12.95 g,7.89 g,5.90 g
"Bacon, meatless",100 g,309,29.52 g,11.69 g,5.31 g
"Rosemary, fresh",100 g,131,5.86 g,3.31 g,20.70 g
"Syrups, sorghum",100 g,290,0.00 g,0.00 g,74.90 g
"Rye flour, dark",100 g,325,2.22 g,15.91 g,68.63 g
"Oil, tomatoseed",100 g,884,100.00 g,0.00 g,0.00 g
"Croutons, plain",100 g,407,6.60 g,11.90 g,73.50 g
"Lemon peel, raw",100 g,47,0.30 g,1.50 g,16.00 g
"Spices, paprika",100 g,282,12.89 g,14.14 g,53.99 g
"Nectarines, raw",100 g,44,0.32 g,1.06 g,10.55 g
"Mulberries, raw",100 g,43,0.39 g,1.44 g,9.80 g
"Lotus root, raw",100 g,74,0.10 g,2.60 g,17.23 g
"Sauce, barbecue",100 g,172,0.63 g,0.82 g,40.77 g
"Fish, raw, spot",100 g,123,4.90 g,18.51 g,0.00 g
"Crabapples, raw",100 g,76,0.30 g,0.40 g,19.95 g
"Breadfruit, raw",100 g,103,0.23 g,1.07 g,27.12 g
Arrowroot flour,100 g,357,0.10 g,0.30 g,88.15 g
"Pimento, canned",100 g,23,0.30 g,1.10 g,5.10 g
"Tomatillos, raw",100 g,32,1.02 g,0.96 g,5.84 g
"Raisins, seeded",100 g,296,0.54 g,2.52 g,78.47 g
"Bologna, turkey",100 g,209,16.05 g,11.42 g,4.68 g
Vanilla extract,100 g,288,0.06 g,0.06 g,12.65 g
"Fish, raw, carp",100 g,127,5.60 g,17.83 g,0.00 g
"Wheat, sprouted",100 g,198,1.27 g,7.49 g,42.53 g
"Fish, raw, cusk",100 g,87,0.69 g,18.99 g,0.00 g
"Watercress, raw",100 g,11,0.10 g,2.30 g,1.29 g
"Fish, raw, ling",100 g,87,0.64 g,18.99 g,0.00 g
"Bread, cinnamon",100 g,253,5.29 g,7.05 g,44.38 g
"Spices, saffron",100 g,310,5.85 g,11.43 g,65.37 g
"Lime juice, raw",100 g,25,0.07 g,0.42 g,8.42 g
"Spelt, uncooked",100 g,338,2.43 g,14.57 g,70.19 g
"Cabbage, kimchi",100 g,15,0.50 g,1.10 g,2.40 g
"Seeds, flaxseed",100 g,534,42.16 g,18.29 g,28.88 g
"Cheese, gruyere",100 g,413,32.34 g,29.81 g,0.36 g
"Cheese, gjetost",100 g,466,29.51 g,9.65 g,42.65 g
"Cheese, fontina",100 g,389,31.14 g,25.60 g,1.55 g
"Butter, salted",100 g,717,81.11 g,0.85 g,0.06 g
"Oil, rice bran",100 g,884,100.00 g,0.00 g,0.00 g
"Crackers, milk",100 g,446,13.77 g,7.60 g,71.73 g
"Dates, medjool",100 g,277,0.15 g,1.81 g,74.97 g
"Arrowroot, raw",100 g,65,0.20 g,4.24 g,13.39 g
"Bread, oatmeal",100 g,269,4.40 g,8.40 g,48.50 g
"Bread, italian",100 g,271,3.50 g,8.80 g,50.10 g
"Tamarinds, raw",100 g,239,0.60 g,2.80 g,62.50 g
"Millet, puffed",100 g,354,3.40 g,13.00 g,80.00 g
"Vinegar, cider",100 g,21,0.00 g,0.00 g,0.93 g
"Oil, poppyseed",100 g,884,100.00 g,0.00 g,0.00 g
"Oil, grapeseed",100 g,884,100.00 g,0.00 g,0.00 g
"Longans, dried",100 g,286,0.40 g,4.90 g,74.00 g
"Pectin, liquid",100 g,11,0.00 g,0.00 g,2.10 g
"Pretzels, soft",100 g,338,3.10 g,8.20 g,69.39 g
"Quinoa, cooked",100 g,120,1.92 g,4.40 g,21.30 g
"Plantains, raw",100 g,122,0.37 g,1.30 g,31.89 g
"Parsley, fresh",100 g,36,0.79 g,2.97 g,6.33 g
"Barley, hulled",100 g,354,2.30 g,12.48 g,73.48 g
"Cheese, romano",100 g,387,26.94 g,31.80 g,3.63 g
Dulce de Leche,100 g,315,7.35 g,6.84 g,55.35 g
"Radicchio, raw",100 g,23,0.25 g,1.43 g,4.48 g
"Bulgur, cooked",100 g,83,0.24 g,3.08 g,18.58 g
"Tempeh, cooked",100 g,195,11.38 g,19.91 g,7.62 g
Chicken spread,100 g,158,17.56 g,18.01 g,4.05 g
"Millet, cooked",100 g,119,1.00 g,3.51 g,23.67 g
"Capers, canned",100 g,23,0.86 g,2.36 g,4.89 g
"Sapodilla, raw",100 g,83,1.10 g,0.44 g,19.96 g
"Wild rice, raw",100 g,357,1.08 g,14.73 g,74.90 g
"Arrowhead, raw",100 g,99,0.29 g,5.33 g,20.23 g
"Frog legs, raw",100 g,73,0.30 g,16.40 g,0.00 g
"Jackfruit, raw",100 g,95,0.64 g,1.72 g,23.25 g
"Litchis, dried",100 g,277,1.20 g,3.80 g,70.70 g
"Rutabagas, raw",100 g,37,0.16 g,1.08 g,8.62 g
"Cornsalad, raw",100 g,21,0.40 g,2.00 g,3.60 g
"Strudel, apple",100 g,274,11.20 g,3.30 g,41.10 g
"Oil, cupu assu",100 g,884,100.00 g,0.00 g,0.00 g
"Cherimoya, raw",100 g,75,0.68 g,1.57 g,17.71 g
"Cheese, tilsit",100 g,340,25.98 g,24.41 g,1.88 g
"Asparagus, raw",100 g,20,0.12 g,2.20 g,3.88 g
"Apricots, raw",100 g,48,0.39 g,1.40 g,11.12 g
"Broccoli, raw",100 g,34,0.37 g,2.82 g,6.64 g
"Cheese, brick",100 g,371,29.68 g,23.24 g,2.79 g
"Sugars, brown",100 g,380,0.00 g,0.12 g,98.09 g
Candied fruit,100 g,322,0.07 g,0.34 g,82.74 g
"Bologna, beef",100 g,299,26.13 g,10.91 g,4.29 g
Blood sausage,100 g,379,34.50 g,14.60 g,1.29 g
"Nuts, almonds",100 g,579,49.93 g,21.15 g,21.55 g
"Shallots, raw",100 g,72,0.10 g,2.50 g,16.80 g
"Couscous, dry",100 g,376,0.64 g,12.76 g,77.43 g
"Candies, hard",100 g,394,0.20 g,0.00 g,98.00 g
Meat extender,100 g,311,2.97 g,41.71 g,34.71 g
"Syrups, maple",100 g,260,0.06 g,0.04 g,67.04 g
Sorghum grain,100 g,329,3.46 g,10.62 g,72.09 g
"Oil, hazelnut",100 g,884,100.00 g,0.00 g,0.00 g
"Pepeao, dried",100 g,298,0.44 g,4.82 g,81.03 g
"Purslane, raw",100 g,20,0.36 g,2.03 g,3.39 g
"Radishes, raw",100 g,16,0.10 g,0.68 g,3.40 g
"Rolls, french",100 g,277,4.30 g,8.60 g,50.20 g
"Bagels, wheat",100 g,250,1.53 g,10.20 g,48.89 g
"Parsnips, raw",100 g,75,0.30 g,1.20 g,17.99 g
"Sugars, maple",100 g,354,0.20 g,0.10 g,90.90 g
"Collards, raw",100 g,32,0.61 g,3.02 g,5.42 g
Rice crackers,100 g,416,5.00 g,10.00 g,82.64 g
"Cheese, colby",100 g,394,32.11 g,23.76 g,2.57 g
"Cheese, cream",100 g,350,34.44 g,6.15 g,5.52 g
"Celeriac, raw",100 g,42,0.30 g,1.50 g,9.20 g
"Kumquats, raw",100 g,71,0.86 g,1.88 g,15.90 g
"Oat bran, raw",100 g,246,7.03 g,17.30 g,66.22 g
"Spelt, cooked",100 g,127,0.85 g,5.50 g,26.44 g
"Bread, cheese",100 g,408,20.83 g,10.42 g,44.83 g
"Bread, potato",100 g,266,3.13 g,12.50 g,47.07 g
"Kohlrabi, raw",100 g,27,0.10 g,1.70 g,6.20 g
"Cheese, swiss",100 g,393,30.99 g,26.96 g,1.44 g
"Cheese, gouda",100 g,356,27.44 g,24.94 g,2.22 g
Tomato powder,100 g,302,0.44 g,12.91 g,74.68 g
"Cheese, blue",100 g,353,28.74 g,21.40 g,2.34 g
"Cheese, brie",100 g,334,27.68 g,20.75 g,0.45 g
"Celtuce, raw",100 g,18,0.30 g,0.85 g,3.65 g
"Thyme, fresh",100 g,101,1.68 g,5.56 g,24.45 g
"Basil, fresh",100 g,23,0.64 g,3.15 g,2.65 g
"Rhubarb, raw",100 g,21,0.20 g,0.90 g,4.54 g
"Nopales, raw",100 g,16,0.09 g,1.32 g,3.33 g
"Syrups, malt",100 g,318,0.00 g,6.20 g,71.30 g
"Oil, teaseed",100 g,884,100.00 g,0.00 g,0.00 g
"Oil, sheanut",100 g,884,100.00 g,0.00 g,0.00 g
"Oil, babassu",100 g,884,100.00 g,0.00 g,0.00 g
"Longans, raw",100 g,60,0.10 g,1.31 g,15.14 g
"Loquats, raw",100 g,47,0.20 g,0.43 g,12.14 g
"Epazote, raw",100 g,32,0.52 g,0.33 g,7.44 g
"Pumpkin, raw",100 g,26,0.10 g,1.00 g,6.50 g
"Carrots, raw",100 g,41,0.24 g,0.93 g,9.58 g
"Fish, surimi",100 g,99,0.90 g,15.18 g,6.85 g
"Cabbage, raw",100 g,25,0.10 g,1.28 g,5.80 g
"Cardoon, raw",100 g,17,0.10 g,0.70 g,4.07 g
"Abiyuch, raw",100 g,69,0.10 g,1.50 g,17.60 g
"Bread, wheat",100 g,267,3.24 g,10.72 g,48.68 g
"Cheese, edam",100 g,357,27.80 g,24.99 g,1.43 g
"Cheese, feta",100 g,264,21.28 g,14.21 g,4.09 g
"Pummelo, raw",100 g,38,0.04 g,0.76 g,9.62 g
"Quinces, raw",100 g,57,0.10 g,0.40 g,15.30 g
Cracker meal,100 g,383,1.70 g,9.30 g,80.90 g
"Roselle, raw",100 g,49,0.64 g,0.96 g,11.31 g
"Soursop, raw",100 g,66,0.30 g,1.00 g,16.84 g
"Oil, coconut",100 g,892,99.06 g,0.00 g,0.00 g
"Wheat, durum",100 g,339,2.47 g,13.68 g,71.13 g
Millet flour,100 g,382,4.25 g,10.75 g,75.12 g
"Arugula, raw",100 g,25,0.66 g,2.58 g,3.65 g
Potato flour,100 g,357,0.34 g,6.90 g,83.10 g
"Litchis, raw",100 g,66,0.44 g,0.83 g,16.53 g
"Teff, cooked",100 g,101,0.65 g,3.87 g,19.86 g
"Spinach, raw",100 g,23,0.39 g,2.86 g,3.63 g
"Oil, mustard",100 g,884,100.00 g,0.00 g,0.00 g
"Oil, avocado",100 g,884,100.00 g,0.00 g,0.00 g
Phyllo dough,100 g,299,6.00 g,7.10 g,52.60 g
"Lentils, raw",100 g,352,1.06 g,24.63 g,63.35 g
"Fat, chicken",100 g,900,99.80 g,0.00 g,0.00 g
"Cassava, raw",100 g,160,0.28 g,1.36 g,38.06 g
"Turnips, raw",100 g,28,0.10 g,0.90 g,6.43 g
"Bananas, raw",100 g,89,0.33 g,1.09 g,22.84 g
"Papayas, raw",100 g,43,0.26 g,0.47 g,10.82 g
Fruit syrup,100 g,341,0.00 g,0.00 g,85.13 g
"Chives, raw",100 g,30,0.73 g,3.27 g,4.35 g
Carob flour,100 g,222,0.65 g,4.62 g,88.88 g
Prune puree,100 g,257,0.20 g,2.10 g,65.10 g
"Salt, table",100 g,0,0.00 g,0.00 g,0.00 g
Chewing gum,100 g,360,0.30 g,0.00 g,96.70 g
"Fat, turkey",100 g,900,99.80 g,0.00 g,0.00 g
"Borage, raw",100 g,21,0.70 g,1.80 g,3.06 g
"Mangos, raw",100 g,60,0.38 g,0.82 g,14.98 g
"Garlic, raw",100 g,149,0.50 g,6.36 g,33.06 g
"Endive, raw",100 g,17,0.20 g,1.25 g,3.35 g
Tofu yogurt,100 g,94,1.80 g,3.50 g,15.96 g
"Celery, raw",100 g,16,0.17 g,0.69 g,2.97 g
"Bagels, egg",100 g,278,2.10 g,10.60 g,53.00 g
"Bulgur, dry",100 g,342,1.33 g,12.29 g,75.87 g
"Feijoa, raw",100 g,61,0.42 g,0.71 g,15.21 g
"Millet, raw",100 g,378,4.22 g,11.02 g,72.85 g
"Ham, minced",100 g,263,20.68 g,16.28 g,1.84 g
"Oil, almond",100 g,884,100.00 g,0.00 g,0.00 g
"Oil, walnut",100 g,884,100.00 g,0.00 g,0.00 g
"Jujube, raw",100 g,79,0.20 g,1.20 g,20.23 g
"Oil, canola",100 g,884,100.00 g,0.00 g,0.00 g
"Syrup, Cane",100 g,269,0.00 g,0.00 g,73.14 g
"Onions, raw",100 g,40,0.10 g,1.10 g,9.34 g
Clif Z bar,100 g,409,9.72 g,5.55 g,74.72 g
Fish broth,100 g,16,0.60 g,2.00 g,0.40 g
"Fat, goose",100 g,900,99.80 g,0.00 g,0.00 g
"Bread, rye",100 g,259,3.30 g,8.50 g,48.30 g
"Eppaw, raw",100 g,150,1.80 g,4.60 g,31.68 g
"Limes, raw",100 g,30,0.20 g,0.70 g,10.54 g
"Pie, peach",100 g,224,10.00 g,1.90 g,32.90 g
"Pears, raw",100 g,57,0.14 g,0.36 g,15.23 g
"Plums, raw",100 g,46,0.28 g,0.70 g,11.42 g
"Rowal, raw",100 g,111,2.00 g,2.30 g,23.90 g
"Beets, raw",100 g,43,0.17 g,1.61 g,9.56 g
"Bread, egg",100 g,287,6.00 g,9.50 g,47.80 g
Buckwheat,100 g,343,3.40 g,13.25 g,71.50 g
"Oil, palm",100 g,884,100.00 g,0.00 g,0.00 g
"Fat, duck",100 g,882,99.80 g,0.00 g,0.00 g
Triticale,100 g,336,2.09 g,13.05 g,72.13 g
Rye grain,100 g,338,1.63 g,10.34 g,75.86 g
"Dock, raw",100 g,22,0.70 g,2.00 g,3.20 g
"Kale, raw",100 g,49,0.93 g,4.28 g,8.75 g
"Okra, raw",100 g,33,0.19 g,1.93 g,7.45 g
"Taro, raw",100 g,112,0.20 g,1.50 g,26.46 g
"Figs, raw",100 g,74,0.30 g,0.75 g,19.18 g
"Goat, raw",100 g,109,2.31 g,20.60 g,0.00 g
Molasses,100 g,290,0.10 g,0.00 g,74.73 g
Zwieback,100 g,426,9.70 g,10.10 g,74.20 g
"Yam, raw",100 g,118,0.17 g,1.53 g,27.88 g
"Oil, oat",100 g,884,100.00 g,0.00 g,0.00 g
Jellies,100 g,266,0.02 g,0.15 g,69.95 g
Eggnog,100 g,88,4.19 g,4.55 g,8.05 g
Catsup,100 g,101,0.10 g,1.04 g,27.40 g
Tempeh,100 g,192,10.80 g,20.29 g,7.64 g
Wasabi,100 g,292,10.90 g,2.23 g,46.13 g
Honey,100 g,304,0.00 g,0.30 g,82.40 g
Natto,100 g,211,11.00 g,19.40 g,12.68 g
Okara,100 g,76,1.73 g,3.52 g,12.23 g
Papad,100 g,371,3.25 g,25.56 g,59.87 g
Lard,100 g,902,100.00 g,0.00 g,0.00 g
Oats,100 g,389,6.90 g,16.89 g,66.27 g
Miso,100 g,198,6.01 g,12.79 g,25.37 g
Poi,100 g,112,0.14 g,0.38 g,27.23 g
"Spices, dried, oregano",100 g,265,4.28 g,9.00 g,68.92 g
"Winged bean leaves, raw",100 g,74,1.10 g,5.85 g,14.10 g
"Corn, raw, white, sweet",100 g,86,1.18 g,3.22 g,19.02 g
"Wheat flour, whole-grain",100 g,340,2.50 g,13.21 g,71.97 g
"CRACKER BARREL, coleslaw",100 g,175,13.22 g,0.89 g,13.01 g
"Fish, raw, king, mackerel",100 g,105,2.00 g,20.28 g,0.00 g
"Cookies, chocolate wafers",100 g,433,14.20 g,6.60 g,72.70 g
"Mushrooms, raw, portabella",100 g,22,0.35 g,2.11 g,3.87 g
"Fish, raw, striped, mullet",100 g,117,3.79 g,19.35 g,0.00 g
"Egg, poached, cooked, whole",100 g,143,9.47 g,12.51 g,0.71 g
"Noodles, chow mein, chinese",100 g,475,15.43 g,8.11 g,72.80 g
"Oil, cold pressed, flaxseed",100 g,884,99.98 g,0.11 g,0.00 g
"Triticale flour, whole-grain",100 g,338,1.81 g,13.18 g,73.14 g
"Cheese, queso anejo, mexican",100 g,373,29.98 g,21.44 g,4.63 g
"Smelt, dried (Alaska Native)",100 g,386,17.90 g,56.19 g,0.00 g
"Lamb, broiled, cooked, ground",100 g,283,19.65 g,24.75 g,0.00 g
"Tofu, dried-frozen (koyadofu)",100 g,477,30.34 g,52.47 g,10.03 g
Poultry salad sandwich spread,100 g,200,13.52 g,11.64 g,7.41 g
"Rice flour, unenriched, white",100 g,366,1.42 g,5.95 g,80.13 g
"Yogurt, nonfat, fruit variety",100 g,95,0.20 g,4.40 g,19.00 g
"Babyfood, vegetable, crackers",100 g,477,19.60 g,8.40 g,66.85 g
"Babyfood, fruit, baby, cookie",100 g,435,12.60 g,6.80 g,73.70 g
"Chicken, raw, giblets, capons",100 g,130,5.18 g,18.28 g,1.42 g
"Fish, raw, mixed species, roe",100 g,143,6.42 g,22.32 g,1.50 g
"Fish, smoked, chinook, salmon",100 g,117,4.32 g,18.28 g,0.00 g
HOUSE FOODS Premium Firm Tofu,100 g,85,4.19 g,10.92 g,0.97 g
"Crackers, whole grain, cheese",100 g,412,16.03 g,9.62 g,57.29 g
"Seeds, high-fat, sesame flour",100 g,526,37.10 g,30.78 g,26.62 g
"Peppers, canned, green, chili",100 g,21,0.27 g,0.72 g,4.60 g
"Egg, raw, fresh, whole, quail",100 g,158,11.09 g,13.05 g,0.41 g
"Pumpkin, without salt, canned",100 g,34,0.28 g,1.10 g,8.09 g
"Dove, cooked (includes squab)",100 g,213,13.00 g,23.90 g,0.00 g
"Beverages, orange, carbonated",100 g,48,0.00 g,0.00 g,12.30 g
"Kefir, LIFEWAY, plain, lowfat",100 g,41,0.93 g,3.79 g,4.48 g
"Candies, ALMOND JOY Candy Bar",100 g,479,26.93 g,4.13 g,59.51 g
"Cheese substitute, mozzarella",100 g,248,12.22 g,11.47 g,23.67 g
"Crustaceans, raw, queen, crab",100 g,90,1.18 g,18.50 g,0.00 g
"Wheat, cooked, KAMUT khorasan",100 g,132,0.83 g,5.71 g,27.60 g
"Sauce, ready-to-serve, hoisin",100 g,220,3.39 g,3.31 g,44.08 g
"Sauce, ready-to-serve, oyster",100 g,51,0.25 g,1.35 g,10.92 g
"Noodles, dry, somen, japanese",100 g,356,0.81 g,11.35 g,74.10 g
"Crackers, reduced fat, cheese",100 g,418,11.67 g,10.00 g,68.19 g
"Cookies, reduced fat, oatmeal",100 g,365,10.04 g,4.02 g,64.62 g
"Cranberries, sweetened, dried",100 g,308,1.09 g,0.17 g,82.80 g
"Cheese, queso cotija, mexican",100 g,366,30.00 g,20.00 g,3.97 g
"Rolls, hard (includes kaiser)",100 g,293,4.30 g,9.90 g,52.70 g
"Ostrich, cooked, inside strip",100 g,164,4.26 g,29.37 g,0.00 g
"SILK Light Chocolate, soymilk",100 g,49,0.62 g,2.06 g,9.05 g
"Candies, sugar-coated almonds",100 g,474,17.93 g,10.00 g,68.26 g
"KELLOGG'S, Corn Flakes Crumbs",100 g,367,0.40 g,7.50 g,84.40 g
"Cheese, queso seco, dry white",100 g,325,24.35 g,24.51 g,2.04 g
"Fish, raw, wild, coho, salmon",100 g,146,5.93 g,21.62 g,0.00 g
"Beets, drained solids, canned",100 g,31,0.14 g,0.91 g,7.21 g
"Beef, reduced sodium, bologna",100 g,310,28.40 g,11.70 g,2.00 g
"KEEBLER, Iced Oatmeal Cookies",100 g,467,18.30 g,6.50 g,69.50 g
"Ice creams, fat free, vanilla",100 g,138,0.00 g,4.48 g,30.06 g
"Turkey Pot Pie, frozen entree",100 g,176,8.80 g,6.50 g,17.70 g
"Peanut butter, reduced sodium",100 g,590,49.90 g,24.00 g,21.83 g
"Oil, salad or cooking, peanut",100 g,884,100.00 g,0.00 g,0.00 g
"Turkey, raw, meat only, whole",100 g,112,1.93 g,22.64 g,0.14 g
"Syrups, fudge-type, chocolate",100 g,350,8.90 g,4.60 g,62.90 g
"Corn, steamed (Navajo), white",100 g,386,5.18 g,9.72 g,75.20 g
"Fish, raw, mixed species, eel",100 g,184,11.66 g,18.44 g,0.00 g
"Spices, dried, coriander leaf",100 g,279,4.78 g,21.93 g,52.10 g
"Popovers, unenriched, dry mix",100 g,371,4.30 g,10.40 g,71.00 g
"Lemon grass (citronella), raw",100 g,99,0.49 g,1.82 g,25.31 g
"Candies, with almonds, nougat",100 g,398,1.67 g,3.33 g,92.39 g
"Fish, raw, Atlantic, mackerel",100 g,205,13.89 g,18.60 g,0.00 g
"Candies, REESE'S PIECES Candy",100 g,497,24.77 g,12.46 g,59.86 g
"Sauce, ready-to-serve, cheese",100 g,174,13.29 g,6.71 g,6.83 g
"Noodles, unenriched, dry, egg",100 g,384,4.44 g,14.16 g,71.27 g
"Egg, scrambled, cooked, whole",100 g,149,10.98 g,9.99 g,1.61 g
"Egg, raw, fresh, whole, goose",100 g,185,13.27 g,13.87 g,1.35 g
"Jujube, dried, fresh, Chinese",100 g,281,0.50 g,4.72 g,72.52 g
"GIRL SCOUTS, Trefoils Cookies",100 g,498,22.90 g,5.70 g,68.00 g
"Quail, raw, meat only, breast",100 g,123,2.99 g,22.59 g,0.00 g
"Blueberries, sweetened, dried",100 g,317,2.50 g,2.50 g,80.00 g
"Candies, PAYDAY Bar, HERSHEYS",100 g,490,25.00 g,13.44 g,52.88 g
"Sauce, ready-to-serve, tartar",100 g,211,16.70 g,1.00 g,13.30 g
"Sauce, thick, white, homemade",100 g,186,13.83 g,3.99 g,11.61 g
"Veal, broiled, cooked, ground",100 g,172,7.56 g,24.38 g,0.00 g
"Bison, raw, grass-fed, ground",100 g,146,7.21 g,20.23 g,0.05 g
"Bread, bollilo, Mexican, roll",100 g,318,5.80 g,10.65 g,55.77 g
"Currants, raw, european black",100 g,63,0.41 g,1.40 g,15.38 g
"Pineapple, all varieties, raw",100 g,50,0.12 g,0.54 g,13.12 g
"Fish, raw, Atlantic, wolffish",100 g,96,2.39 g,17.50 g,0.00 g
"Cereals ready-to-eat, FAMILIA",100 g,388,6.30 g,9.50 g,73.80 g
"Leavening agents, baking soda",100 g,0,0.00 g,0.00 g,0.00 g
"Asparagus, unprepared, frozen",100 g,24,0.23 g,3.23 g,4.10 g
"English muffins, whole-wheat",100 g,203,2.10 g,8.80 g,40.40 g
"Ice creams, light, chocolate",100 g,187,7.19 g,5.00 g,25.70 g
"Crackers, wheat, melba toast",100 g,374,2.30 g,12.90 g,76.40 g
"Crackers, plain, melba toast",100 g,390,3.20 g,12.10 g,76.60 g
"Crackers, plain, wafers, rye",100 g,334,0.90 g,9.60 g,80.40 g
"Apples, with skin, gala, raw",100 g,57,0.12 g,0.25 g,13.68 g
"Fish, dry heat, cooked, ling",100 g,111,0.82 g,24.35 g,0.00 g
"Fish, dry heat, cooked, cusk",100 g,112,0.88 g,24.35 g,0.00 g
"Peanut spread, reduced sugar",100 g,650,54.89 g,24.80 g,14.23 g
"Babyfood, junior, beef, meat",100 g,81,2.52 g,12.03 g,2.43 g
"Peppers, sauteed, red, sweet",100 g,133,12.75 g,1.04 g,6.57 g
"Tree fern, with salt, cooked",100 g,40,0.07 g,0.29 g,10.78 g
"Pheasant, meat and skin, raw",100 g,181,9.29 g,22.70 g,0.00 g
"Oil, salad or cooking, olive",100 g,884,100.00 g,0.00 g,0.00 g
"Squash, raw, hubbard, winter",100 g,40,0.50 g,2.00 g,8.70 g
"Rambutan, syrup pack, canned",100 g,82,0.21 g,0.65 g,20.87 g
"Fish, raw, Atlantic, herring",100 g,158,9.04 g,17.96 g,0.00 g
"Fish, raw, spanish, mackerel",100 g,139,6.30 g,19.29 g,0.00 g
"PEPPERIDGE FARM, White Bread",100 g,280,5.10 g,0.01 g,50.20 g
"Crackers, low sodium, cheese",100 g,503,25.30 g,10.10 g,58.20 g
Orange Pineapple Juice Blend,100 g,51,0.08 g,0.41 g,12.20 g
"Beverages, hard cider, AMBER",100 g,56,0.00 g,0.00 g,5.92 g
"Babyfood, apple-banana juice",100 g,51,0.10 g,0.20 g,12.30 g
"Spices, ground, mustard seed",100 g,508,36.24 g,26.08 g,28.09 g
"Cornmeal, white, whole-grain",100 g,362,3.59 g,8.12 g,76.89 g
"Ground turkey, raw, fat free",100 g,112,1.95 g,23.57 g,0.00 g
"Kanpyo, (dried gourd strips)",100 g,258,0.56 g,8.58 g,65.03 g
"Pancakes, reduced fat, plain",100 g,269,1.90 g,5.71 g,57.32 g
"Tennis Bread, plain (Apache)",100 g,258,1.05 g,9.00 g,53.26 g
"USDA Commodity, canned, beef",100 g,246,17.57 g,20.52 g,0.00 g
"Cockles, raw (Alaska Native)",100 g,79,0.70 g,13.50 g,4.70 g
"Yogurt, lowfat, plain, Greek",100 g,73,1.92 g,9.95 g,3.94 g
"Apples, with skin, fuji, raw",100 g,63,0.18 g,0.20 g,15.22 g
"Cheese, low sodium, parmesan",100 g,451,29.99 g,41.60 g,3.70 g
"Peppers, canned, hot pickled",100 g,22,0.40 g,0.80 g,4.56 g
"Lettuce, raw, cos or romaine",100 g,17,0.30 g,1.23 g,3.29 g
"MURRAY, JACKS Vanilla Wafers",100 g,438,11.90 g,4.80 g,78.10 g
"Noodles, dry, soba, japanese",100 g,336,0.71 g,14.38 g,74.62 g
"Beverages, powder, Cocoa mix",100 g,398,4.00 g,6.67 g,83.73 g
"Game meat, raw, ground, deer",100 g,157,7.13 g,21.78 g,0.00 g
